movement_id,date_id,vessel_key,vessel_id,vessel_category,terminal_id,container_count,move_duration,route_geometry,fiscal_year,quarter,month,week,shift,build_year,terminal_name,regional_hub,vessel_age,age_bucket,handling_speed,peak_season,suez_period
637,2024-07-28,Cargo_833,833,Cargo,197,415,211.68285195764648,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2024,3,7,30,Night,2013,Tammy Strong,EMEA,11,Modern (5-15yr),1.9604800113097174,0,Normal
266,2022-03-18,Passenger_847,84,Passenger,490,342,832.5199291748445,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2022,1,3,11,Night,1967,Elizabeth Norman,AMER,55,Old (>30yr),0.41080097666727894,1,Normal
601,2022-02-15,Tanker_65,65,Tanker,99,115,613.9921161163146,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2022,1,2,7,Day,1945,Kayla Mitchell,APAC,77,Old (>30yr),0.1872988218927137,0,Normal
274,2023-12-08,Tanker_179,179,Tanker,197,55,69.30211736066761,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2023,4,12,49,Night,1962,Tammy Strong,EMEA,61,Old (>30yr),0.7936265455464313,0,Normal
118,2024-06-25,Passenger_49,49,Passenger,490,695,862.7093488844175,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2024,2,6,26,Night,1948,Elizabeth Norman,AMER,76,Old (>30yr),0.8056015631437343,0,Normal
254,2024-11-03,Tanker_174,174,Tanker,395,968,55.75524044441504,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2024,4,11,44,Day,1965,Shawn Martinez,APAC,59,Old (>30yr),17.361596726769456,1,Normal
275,2024-11-26,Tanker_304,304,Tanker,957,325,28.77061880178511,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2024,4,11,48,Night,1984,Sherry Jones,APAC,40,Old (>30yr),11.296246432483231,1,Normal
135,2022-02-01,Passenger_217,217,Passenger,374,844,833.7471775451735,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2022,1,2,5,Night,1908,Diamond Newman,EMEA,114,Old (>30yr),1.0122972799560344,0,Normal
23,2024-01-18,Tanker_640,640,Tanker,529,602,13.02370655939422,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2024,1,1,3,Night,1982,Tara Walker,APAC,42,Old (>30yr),46.22340017065013,0,Normal
944,2022-06-08,Passenger_892,892,Passenger,705,304,88.43409430613525,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2022,2,6,23,Day,2018,Mercedes Miller,EMEA,4,New (<5yr),3.4375882105789772,0,Normal
513,2022-11-02,Container_926,92,Container,99,567,16.95300169559999,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2022,4,11,44,Day,1933,Kayla Mitchell,APAC,89,Old (>30yr),33.44540454727614,1,Normal
402,2023-03-23,Passenger_120,120,Passenger,197,129,880.2787425208221,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2023,1,3,12,Day,2003,Tammy Strong,EMEA,20,Mature (16-30yr),0.14654449070369166,1,Normal
930,2022-11-16,Container_297,297,Container,930,338,44.69548847133365,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2022,4,11,46,Day,1992,Regina White,EMEA,30,Old (>30yr),7.562284507009765,1,Normal
224,2023-07-15,Container_180,180,Container,350,735,372.6798144841057,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2023,3,7,28,Day,1924,Jason Gonzalez,EMEA,99,Old (>30yr),1.972202334106686,0,Normal
403,2023-11-26,Tanker_705,705,Tanker,627,852,216.9923699368877,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2023,4,11,47,Night,1935,Matthew Jones,LATAM,88,Old (>30yr),3.926405339726021,1,Normal
847,2024-07-11,Container_796,796,Container,369,220,341.66101283795314,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2024,3,7,28,Night,1923,Seth Jackson,APAC,101,Old (>30yr),0.6439130943639276,0,Normal
632,2024-07-17,Container_457,457,Container,529,911,290.5926144659744,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2024,3,7,29,Day,1956,Tara Walker,APAC,68,Old (>30yr),3.1349729987947415,0,Normal
399,2024-07-12,Container_997,997,Container,272,606,887.8717257907718,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2024,3,7,28,Night,2000,Lauren Little,LATAM,24,Mature (16-30yr),0.6825310260446391,0,Normal
256,2022-11-18,Passenger_234,234,Passenger,737,229,768.7055556533724,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2022,4,11,46,Night,2016,John Juarez,LATAM,6,Modern (5-15yr),0.2979034017847811,1,Normal
35,2021-12-14,Tanker_21,21,Tanker,131,779,885.0168758955735,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2021,4,12,50,Night,2010,Scott Ray,APAC,11,Modern (5-15yr),0.8802092041597601,0,Normal
85,2024-03-02,Tanker_443,443,Tanker,371,881,720.0426155098359,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2024,1,3,9,Night,2000,Isaac Moore,EMEA,24,Mature (16-30yr),1.2235386920483813,1,Normal
162,2024-02-27,Container_857,857,Container,705,272,330.3480902107726,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2024,1,2,9,Night,1908,Mercedes Miller,EMEA,116,Old (>30yr),0.8233739139416708,0,Normal
787,2024-04-30,Container_442,442,Container,154,105,185.8451195563028,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2024,2,4,18,Day,1949,Andrew Baldwin,EMEA,75,Old (>30yr),0.5649865880292309,1,Normal
639,2024-01-19,Cargo_431,431,Cargo,708,284,529.7794803939859,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2024,1,1,3,Day,1908,Ryan Williams,LATAM,116,Old (>30yr),0.5360721026582517,0,Normal
433,2022-04-30,Passenger_859_2,859,Passenger,737,757,356.66835416709944,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2022,2,4,17,Day,1972,John Juarez,LATAM,50,Old (>30yr),2.1224198647165227,1,Normal
783,2021-09-30,Container_890,890,Container,45,61,643.4129978790544,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2021,3,9,39,Night,1954,Jason Melton,AMER,67,Old (>30yr),0.09480691282439165,1,Normal
160,2022-07-26,Container_343,343,Container,99,289,38.93259211068833,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2022,3,7,30,Day,1956,Kayla Mitchell,APAC,66,Old (>30yr),7.423086528077836,0,Normal
211,2021-04-07,Cargo_841,841,Cargo,627,320,712.9820288422992,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2021,2,4,14,Night,1958,Matthew Jones,LATAM,63,Old (>30yr),0.44881916661994736,1,Post-Suez
393,2024-12-22,Cargo_441,441,Cargo,599,16,299.5591769977971,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2024,4,12,51,Day,1984,John Park,EMEA,40,Old (>30yr),0.053411817192025667,0,Normal
918,2022-10-13,Container_262,262,Container,110,598,462.2405047020114,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",2022,4,10,41,Day,1981,Steven Lynn,EMEA,41,Old (>30yr),1.2936988297585637,1,Normal
